Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2, I3_1, Ang3_1, I3_2, Ang3_2, I3_3, Ang3_3, I3_4, Ang3_4, Iresid3, AngResid3
Vsource.SOURCE,    59.6932,   170.90,    54.4438,    53.00,    59.0372,   -63.68,          0,     0.00, 7.45062E-009,    90.19,    59.6932,    -9.10,    54.4438,  -127.00,    59.0372,   116.32,          0,     0.00, 7.45062E-009,   -89.81,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.HVMV_SUB_CONNECTOR,    550.823,   -38.00,    531.017,  -159.01,    499.275,    87.56,          0,     0.00,    50.6158,  -143.02,    550.823,   142.00,    531.017,    20.99,    499.275,   -92.44,          0,     0.00,    50.6158,    36.98,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5502549-1,     1.9644,   177.99,          0,     0.00,          0,     0.00,          0,     0.00,     1.9644,   177.99,    1.96455,    -2.02,          0,     0.00,          0,     0.00,          0,     0.00,    1.96455,    -2.02,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6259988-1,    1.44021,    65.56,          0,     0.00,          0,     0.00,          0,     0.00,    1.44021,    65.56,     1.4407,  -114.51,          0,     0.00,          0,     0.00,          0,     0.00,     1.4407,  -114.51,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6077796-1,    1.68375,   179.79,          0,     0.00,          0,     0.00,          0,     0.00,    1.68375,   179.79,     1.6838,    -0.21,          0,     0.00,          0,     0.00,          0,     0.00,     1.6838,    -0.21,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5835135-2,    16.6144,   178.30,          0,     0.00,          0,     0.00,          0,     0.00,    16.6144,   178.30,    16.6146,    -1.70,          0,     0.00,          0,     0.00,          0,     0.00,    16.6146,    -1.70,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5896826-1,   0.828652,  -171.20,          0,     0.00,          0,     0.00,          0,     0.00,   0.828652,  -171.20,   0.829595,     8.56,          0,     0.00,          0,     0.00,          0,     0.00,   0.829595,     8.56,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5714038-1,    2.19251,  -174.98,          0,     0.00,          0,     0.00,          0,     0.00,    2.19251,  -174.98,    2.19296,     4.97,          0,     0.00,          0,     0.00,          0,     0.00,    2.19296,     4.97,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5653457-1,    20.0717,   -59.68,    42.1422,   178.04,    15.8598,    64.80,          0,     0.00,    25.2784,  -176.52,    20.0724,   120.32,    42.1429,    -1.96,    15.8602,  -115.21,          0,     0.00,    25.2783,     3.48,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5835173-1,    28.5863,   -59.05,    63.5142,   178.21,    47.8461,    64.23,          0,     0.00,     34.724,   143.70,    28.5867,   120.95,    63.5146,    -1.79,    47.8463,  -115.77,          0,     0.00,     34.724,   -36.30,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
