Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,      69715,    0.0,      1.05, 2,      69715, -120.0,      1.05, 3,      69715,  120.0,      1.05
"_HVMV_SUB_LSB", 12.47, 1,    7554.34,  -34.4,    1.0493, 2,    7543.39, -154.2,    1.0478, 3,    7562.05,   86.0,    1.0503
"HVMV_SUB_48332", 12.47, 1,    7554.34,  -34.4,    1.0493, 2,    7543.39, -154.2,    1.0478, 3,    7562.04,   86.0,    1.0503
"M1009763", 12.47, 1,     7196.1,  -44.9,   0.99952, 2,    7279.97, -167.1,    1.0112, 3,    7418.66,   79.6,    1.0304
"L2673322", 12.47, 2,    7279.86, -167.1,    1.0112, 0, 0, 0, 0, 0, 0, 0, 0
"M1069148", 12.47, 3,     7420.4,   80.5,    1.0307, 0, 0, 0, 0, 0, 0, 0, 0
"L2673309", 12.47, 3,    7420.11,   80.5,    1.0306, 0, 0, 0, 0, 0, 0, 0, 0
"M1069588", 12.47, 2,     7274.6, -165.3,    1.0104, 0, 0, 0, 0, 0, 0, 0, 0
"L2804270", 12.47, 2,    7274.56, -165.3,    1.0104, 0, 0, 0, 0, 0, 0, 0, 0
"M3036164", 12.47, 2,    7148.39, -166.9,   0.99289, 0, 0, 0, 0, 0, 0, 0, 0
"L2935553", 12.47, 2,    7146.91, -166.9,   0.99269, 0, 0, 0, 0, 0, 0, 0, 0
"M1209749", 12.47, 2,     7384.4, -156.5,    1.0257, 0, 0, 0, 0, 0, 0, 0, 0
"L2748840", 12.47, 2,    7384.18, -156.5,    1.0256, 0, 0, 0, 0, 0, 0, 0, 0
"M1108264", 12.47, 2,    7433.52, -160.4,    1.0325, 0, 0, 0, 0, 0, 0, 0, 0
"M1108263", 12.47, 2,    7433.11, -160.4,    1.0324, 0, 0, 0, 0, 0, 0, 0, 0
"L3085398", 12.47, 1,    7242.78,  -44.9,     1.006, 2,    7323.82, -167.0,    1.0173, 3,     7429.8,   79.6,     1.032
"M1026891", 12.47, 1,    7239.47,  -44.9,    1.0055, 2,    7317.51, -167.0,    1.0164, 3,    7428.67,   79.6,    1.0318
"L3216367", 12.47, 1,    7313.09,  -44.4,    1.0158, 2,    7286.52, -166.6,    1.0121, 3,     7367.3,   79.3,    1.0233
"M1069468", 12.47, 1,    7312.43,  -44.4,    1.0157, 2,    7284.29, -166.6,    1.0118, 3,    7366.53,   79.3,    1.0232
"M1142800", 12.47, 2,    7209.85, -159.0,    1.0014, 0, 0, 0, 0, 0, 0, 0, 0
"M1142799", 12.47, 2,    7209.67, -159.0,    1.0014, 0, 0, 0, 0, 0, 0, 0, 0
"M1047592", 12.47, 1,    7361.87,  -44.5,    1.0225, 2,    7403.53, -166.5,    1.0283, 3,    7462.57,   79.6,    1.0365
"P827512", 12.47, 3,    7462.55,   79.6,    1.0365, 0, 0, 0, 0, 0, 0, 0, 0
"M1047339", 12.47, 1,    7272.61,  -40.8,    1.0101, 2,    7231.78, -161.6,    1.0045, 3,    7424.48,   79.9,    1.0312
"P895104", 12.47, 1,    7272.57,  -40.8,    1.0101, 0, 0, 0, 0, 0, 0, 0, 0
"M1026915", 12.47, 1,    7241.16,  -44.9,    1.0058, 2,    7326.08, -167.0,    1.0176, 3,     7428.8,   79.6,    1.0318
"M1026920", 12.47, 1,    7239.08,  -44.9,    1.0055, 2,    7325.08, -167.0,    1.0174, 3,    7427.82,   79.6,    1.0317
"N1138596", 12.47, 1,    7294.33,  -44.3,    1.0132, 0, 0, 0, 0, 0, 0, 0, 0
"L3254207", 12.47, 1,    7293.82,  -44.3,    1.0131, 0, 0, 0, 0, 0, 0, 0, 0
"M1069464", 12.47, 1,    7311.38,  -44.4,    1.0155, 2,     7280.3, -166.6,    1.0112, 3,     7365.2,   79.2,     1.023
"P873787", 12.47, 2,    7280.27, -166.6,    1.0112, 0, 0, 0, 0, 0, 0, 0, 0
"N1144665", 12.47, 1,    7387.22,  -44.3,    1.0261, 2,     7416.7, -166.3,    1.0302, 3,    7454.74,   79.7,    1.0354
"M1047515", 12.47, 1,    7381.88,  -44.3,    1.0253, 2,    7412.79, -166.3,    1.0296, 3,    7450.08,   79.7,    1.0348
"N1137002", 12.47, 1,    7353.05,  -44.3,    1.0213, 0, 0, 0, 0, 0, 0, 0, 0
"M1047707", 12.47, 1,    7352.74,  -44.3,    1.0213, 0, 0, 0, 0, 0, 0, 0, 0
"L2729406", 12.47, 3,    7265.34,   81.3,    1.0091, 0, 0, 0, 0, 0, 0, 0, 0
"L2897768", 12.47, 3,    7264.81,   81.3,    1.0091, 0, 0, 0, 0, 0, 0, 0, 0
"L3649301", 12.47, 1,    7330.32,  -44.6,    1.0182, 0, 0, 0, 0, 0, 0, 0, 0
"L3649302", 12.47, 1,    7329.94,  -44.6,    1.0181, 0, 0, 0, 0, 0, 0, 0, 0
"L2970842", 12.47, 2,    7455.83, -160.4,    1.0356, 0, 0, 0, 0, 0, 0, 0, 0
"M1089113", 12.47, 2,    7454.42, -160.4,    1.0354, 0, 0, 0, 0, 0, 0, 0, 0
"M1047312", 12.47, 1,    7238.67,  -40.8,    1.0054, 2,    7195.78, -161.7,   0.99948, 3,    7415.26,   79.9,      1.03
"P893163", 12.47, 1,    7238.59,  -40.8,    1.0054, 0, 0, 0, 0, 0, 0, 0, 0
"L2822871", 12.47, 1,    7275.14,  -44.8,    1.0105, 2,    7360.77, -166.8,    1.0224, 3,    7439.17,   79.6,    1.0333
"M1026872", 12.47, 1,    7272.44,  -44.8,    1.0101, 2,    7358.02, -166.8,     1.022, 3,    7438.28,   79.6,    1.0332
"M1026312", 12.47, 2,    7043.03, -162.0,   0.97826, 0, 0, 0, 0, 0, 0, 0, 0
"L2973163", 12.47, 2,    7040.32, -162.0,   0.97788, 0, 0, 0, 0, 0, 0, 0, 0
"L3728038", 12.47, 1,    7319.33,  -44.4,    1.0166, 0, 0, 0, 0, 0, 0, 0, 0
"L3728039", 12.47, 1,     7318.8,  -44.4,    1.0166, 0, 0, 0, 0, 0, 0, 0, 0
"M1069567", 12.47, 2,    7287.46, -165.3,    1.0122, 0, 0, 0, 0, 0, 0, 0, 0
"M1069582", 12.47, 2,    7278.41, -165.3,     1.011, 0, 0, 0, 0, 0, 0, 0, 0
"N1140830", 12.47, 1,    7183.06,  -44.7,   0.99771, 0, 0, 0, 0, 0, 0, 0, 0
"L3216351", 12.47, 1,    7182.97,  -44.7,    0.9977, 0, 0, 0, 0, 0, 0, 0, 0
"L2952007", 12.47, 3,    7381.83,   84.8,    1.0253, 0, 0, 0, 0, 0, 0, 0, 0
"L2861158", 12.47, 3,    7381.48,   84.8,    1.0253, 0, 0, 0, 0, 0, 0, 0, 0
"N1140827", 12.47, 1,    7188.39,  -44.6,   0.99845, 2,    7371.67, -166.2,    1.0239, 3,    7321.26,   79.8,    1.0169
"M1026726", 12.47, 1,    7188.31,  -44.6,   0.99844, 2,    7371.54, -166.2,    1.0239, 3,    7321.19,   79.8,    1.0169
"L2730106", 12.47, 1,    6831.35,  -41.0,   0.94886, 2,    7062.26, -162.0,   0.98093, 3,    7458.91,   81.5,     1.036
"N1142099", 12.47, 1,    6828.74,  -41.0,   0.94849, 2,       7061, -162.1,   0.98076, 3,    7458.85,   81.5,     1.036
"M1026658", 12.47, 1,    7181.31,  -44.7,   0.99746, 2,    7373.28, -166.2,    1.0241, 3,    7306.89,   79.8,    1.0149
"L3172805", 12.47, 1,    7181.12,  -44.7,   0.99744, 0, 0, 0, 0, 0, 0, 0, 0
"P895112", 12.47, 1,    7127.91,  -38.7,   0.99005, 0, 0, 0, 0, 0, 0, 0, 0
"L3048962", 12.47, 1,    7127.84,  -38.7,   0.99004, 0, 0, 0, 0, 0, 0, 0, 0
"L2991914", 12.47, 1,    7334.47,  -44.4,    1.0187, 2,    7385.87, -166.3,    1.0259, 3,    7411.62,   79.7,    1.0295
"M1047503", 12.47, 1,    7330.78,  -44.4,    1.0182, 2,    7385.57, -166.3,    1.0258, 3,     7409.3,   79.7,    1.0291
"M1047751", 12.47, 1,    7309.83,  -44.1,    1.0153, 0, 0, 0, 0, 0, 0, 0, 0
"L2973154", 12.47, 1,    7309.79,  -44.1,    1.0153, 0, 0, 0, 0, 0, 0, 0, 0
"L3010565", 12.47, 3,    7417.24,   80.4,    1.0302, 0, 0, 0, 0, 0, 0, 0, 0
"L2897775", 12.47, 3,    7416.97,   80.4,    1.0302, 0, 0, 0, 0, 0, 0, 0, 0
"M1125955", 12.47, 3,    7460.97,   82.1,    1.0363, 0, 0, 0, 0, 0, 0, 0, 0
"M1125957", 12.47, 3,    7460.95,   82.1,    1.0363, 0, 0, 0, 0, 0, 0, 0, 0
"M1069640", 12.47, 2,    7251.16, -165.3,    1.0072, 0, 0, 0, 0, 0, 0, 0, 0
"L2804269", 12.47, 2,    7250.42, -165.3,    1.0071, 0, 0, 0, 0, 0, 0, 0, 0
"M1026702", 12.47, 1,     7212.3,  -44.6,    1.0018, 2,    7375.42, -166.2,    1.0244, 3,    7339.99,   79.8,    1.0195
