
CONTROLLED TRANSFORMER TAP SETTINGS

Name            Tap      Min       Max     Step  Position

feeder_rega   1.01250  0.90000  1.10000  0.00625     2
feeder_regb   1.01250  0.90000  1.10000  0.00625     2
feeder_regc   1.00625  0.90000  1.10000  0.00625     1
vreg2_a       1.06250  0.90000  1.10000  0.00625     10
vreg2_b       1.03750  0.90000  1.10000  0.00625     6
vreg2_c       1.01250  0.90000  1.10000  0.00625     2
vreg3_a       1.10000  0.90000  1.10000  0.00625     16
vreg3_b       1.06250  0.90000  1.10000  0.00625     10
vreg3_c       1.00625  0.90000  1.10000  0.00625     1
vreg4_a       1.07500  0.90000  1.10000  0.00625     12
vreg4_b       1.07500  0.90000  1.10000  0.00625     12
vreg4_c       1.03125  0.90000  1.10000  0.00625     5
